glyph   name
份      Unknown character in range CJK Unified Ideographs
伊      CJK character Nelson  372
会      CJK character Nelson  381
传      Unknown character in range CJK Unified Ideographs
伦      Unknown character in range CJK Unified Ideographs
伯      CJK character Nelson  397
似      CJK character Nelson  376
佐      CJK character Nelson  392
作      CJK character Nelson  407
使      CJK character Nelson  432
侍      CJK character Nelson  427
俊      CJK character Nelson  448
俗      CJK character Nelson  453
俳      CJK character Nelson  485
倉      CJK character Nelson  486
倍      CJK character Nelson  483
倫      CJK character Nelson  474
像      CJK character Nelson  540
允      CJK character Nelson  843
兄      CJK character Nelson  875
克      CJK character Nelson  772
兎      CJK character Nelson  198
児      CJK character Nelson  572
入      CJK character Nelson  574
八      CJK character Nelson  577
兰      Unknown character in range CJK Unified Ideographs
凛      CJK character Nelson  651
出      CJK character Nelson 1408,  97
分      CJK character Nelson  578
列      CJK character Nelson 2438
初      CJK character Nelson 4215
別      CJK character Nelson  674
創      CJK character Nelson  702
劇      CJK character Nelson  247
功      CJK character Nelson 1454
劳      Unknown character in range CJK Unified Ideographs
勅      CJK character Nelson  725,2048
勘      CJK character Nelson  729
勤      CJK character Nelson  732, 733
化      CJK character Nelson  350
十      CJK character Nelson  768
半      CJK character Nelson  132, 167
华      Unknown character in range CJK Unified Ideographs
卢      Unknown character in range CJK Unified Ideographs
卿      CJK character Nelson  813
县      Unknown character in range CJK Unified Ideographs
叠      Unknown character in range CJK Unified Ideographs
句      CJK character Nelson  745
合      CJK character Nelson  383
吕      Unknown character in range CJK Unified Ideographs
君      CJK character Nelson  899
周      CJK character Nelson  622
呼      CJK character Nelson  914
哲      CJK character Nelson  931
商      CJK character Nelson  278, 321
啓      CJK character Nelson  940
喰      CJK character Nelson  955
嘉      CJK character Nelson 1136
土      CJK character Nelson 1050
在      CJK character Nelson 1055
坂      CJK character Nelson 1061
块      Unknown character in range CJK Unified Ideographs
場      CJK character Nelson 1113
塊      CJK character Nelson 1122
夏      CJK character Nelson   58
外      CJK character Nelson 1168
始      CJK character Nelson 1208
姚      Unknown character in range CJK Unified Ideographs
姜      CJK character Nelson 3657
姦      CJK character Nelson 1217
威      CJK character Nelson 1803
媒      CJK character Nelson 1241
嬢      CJK character Nelson 1257
孔      CJK character Nelson 1265
孝      CJK character Nelson  773
孟      CJK character Nelson 1269
季      CJK character Nelson 3266
学      CJK character Nelson 1271
學      CJK character Nelson 1275
宜      CJK character Nelson 1290
宝      CJK character Nelson 1293
審      CJK character Nelson 1341
寿      CJK character Nelson  194
尾      CJK character Nelson 1383
居      CJK character Nelson 1387
屋      CJK character Nelson 1392
屎      CJK character Nelson 1390
岡      CJK character Nelson  621
岩      CJK character Nelson 1414
岸      CJK character Nelson 1413
峡      CJK character Nelson 1417
峰      CJK character Nelson 1423
崎      CJK character Nelson 1426
嶋      CJK character Nelson 1434,5343
嶌      Unknown character in range CJK Unified Ideographs
布      CJK character Nelson 1468
帆      CJK character Nelson 1469
希      CJK character Nelson 1470
常      CJK character Nelson 1364
幌      CJK character Nelson 1485
年      CJK character Nelson  188
幸      CJK character Nelson 1073
床      CJK character Nelson 1503
庙      Unknown character in range CJK Unified Ideographs
座      CJK character Nelson 1515,1517
庫      CJK character Nelson 1512
庭      CJK character Nelson 1514
庵      CJK character Nelson 1521
康      CJK character Nelson 1518
廟      CJK character Nelson 1538
廷      CJK character Nelson 1546
式      CJK character Nelson 1556
弓      CJK character Nelson 1560
弟      CJK character Nelson  584
当      CJK character Nelson 1359
彦      CJK character Nelson 3347
彰      CJK character Nelson 1593
御      CJK character Nelson 1628
徳      CJK character Nelson 1633
心      CJK character Nelson 1645
念      CJK character Nelson  424
怪      CJK character Nelson 1665
恩      CJK character Nelson 1684
悪      CJK character Nelson   62
情      CJK character Nelson 1714
惠      CJK character Nelson 1702
慕      CJK character Nelson 4040
戦      CJK character Nelson 1814,1810
才      CJK character Nelson  270
打      CJK character Nelson 1829
护      Unknown character in range CJK Unified Ideographs
拓      CJK character Nelson 1873
捨      CJK character Nelson 1944
提      CJK character Nelson 1967
摩      CJK character Nelson 5392
政      CJK character Nelson 2045
故      CJK character Nelson 2044
敏      CJK character Nelson 2047
斎      CJK character Nelson 5425
斯      CJK character Nelson 2079
方      CJK character Nelson 2082
施      CJK character Nelson 2085
早      CJK character Nelson 2100
昌      CJK character Nelson 2105
明      CJK character Nelson 2110
星      CJK character Nelson 2121
映      CJK character Nelson 2118
昭      CJK character Nelson 2114
時      CJK character Nelson 2126
暗      CJK character Nelson 2154
書      CJK character Nelson 3719
會      CJK character Nelson  522
朗      CJK character Nelson 3762
札      CJK character Nelson 2171
杉      CJK character Nelson 2190
