glyph   name
ん      HIRAGANA LETTER N
仁      CJK character Nelson  349
國      CJK character Nelson 1042
市      CJK character Nelson  284
平      CJK character Nelson   26
松      CJK character Nelson 2212
王      CJK character Nelson 2922
真      CJK character Nelson  783
藏      CJK character Nelson 4078
藤      CJK character Nelson 4090
西      CJK character Nelson 4273
𐤂      PHOENICIAN LETTER GAML
𒆠      CUNEIFORM SIGN KI
Á      LATIN CAPITAL LETTER A WITH ACUTE
ç      LATIN SMALL LETTER C WITH CEDILLA
đ      LATIN SMALL LETTER D WITH STROKE
ī      LATIN SMALL LETTER I WITH MACRON
ş      LATIN SMALL LETTER S WITH CEDILLA
ɜ      LATIN SMALL LETTER REVERSED OPEN E
ʦ      LATIN SMALL LETTER TS DIGRAPH
Ζ      GREEK CAPITAL LETTER ZETA
ζ      GREEK SMALL LETTER ZETA
Թ      ARMENIAN CAPITAL LETTER TO
լ      ARMENIAN SMALL LETTER LIWN
ث      ARABIC LETTER THEH
ذ      ARABIC LETTER THAL
ܫ      SYRIAC LETTER SHIN
ग      DEVANAGARI LETTER GA
न      DEVANAGARI LETTER NA
ტ      GEORGIAN LETTER TAR
ᓇ      CANADIAN SYLLABICS NA
ḍ      LATIN SMALL LETTER D WITH DOT BELOW
ṭ      LATIN SMALL LETTER T WITH DOT BELOW
ἄ      GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
Ἄ      GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA
Ἡ      GREEK CAPITAL LETTER ETA WITH DASIA
Ἰ      GREEK CAPITAL LETTER IOTA WITH PSILI
ὰ      GREEK SMALL LETTER ALPHA WITH VARIA
ῶ      GREEK SMALL LETTER OMEGA WITH PERISPOMENI
♥      BLACK HEART SUIT
の      HIRAGANA LETTER NO
ク      KATAKANA LETTER KU
ー      KATAKANA-HIRAGANA PROLONGED SOUND MARK
国      CJK character Nelson 1037
山      CJK character Nelson 1407
島      CJK character Nelson 5343, 230
李      CJK character Nelson 2179
號      Unknown character in range CJK Unified Ideographs
郎      CJK character Nelson 4762,4763
都      CJK character Nelson 4769
𐤐      PHOENICIAN LETTER PE
Å      LATIN CAPITAL LETTER A WITH RING ABOVE
Æ      LATIN CAPITAL LETTER AE
ì      LATIN SMALL LETTER I WITH GRAVE
ý      LATIN SMALL LETTER Y WITH ACUTE
þ      LATIN SMALL LETTER THORN
ō      LATIN SMALL LETTER O WITH MACRON
ʷ      MODIFIER LETTER SMALL W
Ά      GREEK CAPITAL LETTER ALPHA WITH TONOS
Ж      CYRILLIC CAPITAL LETTER ZHE
չ      ARMENIAN SMALL LETTER CHA
ռ      ARMENIAN SMALL LETTER RA
ܢ      SYRIAC LETTER NUN
ܬ      SYRIAC LETTER TAW
ு      TAMIL VOWEL SIGN U
ნ      GEORGIAN LETTER NAR
ᐢ      CANADIAN SYLLABICS FINAL TOP HALF RING
ἔ      GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
⅔      VULGAR FRACTION TWO THIRDS
−      MINUS SIGN
ⵏ      TIFINAGH LETTER YAN
ⵜ      TIFINAGH LETTER YAT
ス      KATAKANA LETTER SU
ト      KATAKANA LETTER TO
木      CJK character Nelson 2170
^      CIRCUMFLEX ACCENT
`      GRAVE ACCENT
ġ      LATIN SMALL LETTER G WITH DOT ABOVE
ũ      LATIN SMALL LETTER U WITH TILDE
ɲ      LATIN SMALL LETTER N WITH LEFT HOOK
І      CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
Գ      ARMENIAN CAPITAL LETTER GIM
ճ      ARMENIAN SMALL LETTER CHEH
آ      ARABIC LETTER ALEF WITH MADDA ABOVE
ض      ARABIC LETTER DAD
த      TAMIL LETTER TA
ி      TAMIL VOWEL SIGN I
მ      GEORGIAN LETTER MAN
უ      GEORGIAN LETTER UN
ᓂ      CANADIAN SYLLABICS NI
ḥ      LATIN SMALL LETTER H WITH DOT BELOW
Ἱ      GREEK CAPITAL LETTER IOTA WITH DASIA
ὁ      GREEK SMALL LETTER OMICRON WITH DASIA
ル      KATAKANA LETTER RU
日      CJK character Nelson 2097
𐤒      PHOENICIAN LETTER QOF
ğ      LATIN SMALL LETTER G WITH BREVE
ı      LATIN SMALL LETTER DOTLESS I
œ      LATIN SMALL LIGATURE OE
ї      CYRILLIC SMALL LETTER YI
Վ      ARMENIAN CAPITAL LETTER VEW
պ      ARMENIAN SMALL LETTER PEH
ܕ      SYRIAC LETTER DALATH
ბ      GEORGIAN LETTER BAN
ვ      GEORGIAN LETTER VIN
თ      GEORGIAN LETTER TAN
ὀ      GREEK SMALL LETTER OMICRON WITH PSILI
ⵉ      TIFINAGH LETTER YI
ラ      KATAKANA LETTER RA
本      CJK character Nelson   96
𐤁      PHOENICIAN LETTER BET
è      LATIN SMALL LETTER E WITH GRAVE
ĩ      LATIN SMALL LETTER I WITH TILDE
ʰ      MODIFIER LETTER SMALL H
ϊ      GREEK SMALL LETTER IOTA WITH DIALYTIKA
Ե      ARMENIAN CAPITAL LETTER ECH
թ      ARMENIAN SMALL LETTER TO
ء      ARABIC LETTER HAMZA
إ      ARABIC LETTER ALEF WITH HAMZA BELOW
म      DEVANAGARI LETTER MA
र      DEVANAGARI LETTER RA
Ἁ      GREEK CAPITAL LETTER ALPHA WITH DASIA
♀      FEMALE SIGN
♂      MALE SIGN
ッ      KATAKANA LETTER SMALL TU
子      CJK character Nelson 1264
ã      LATIN SMALL LETTER A WITH TILDE
Ł      LATIN CAPITAL LETTER L WITH STROKE
Λ      GREEK CAPITAL LETTER LAMDA
ئ      ARABIC LETTER YEH WITH HAMZA ABOVE
ო      GEORGIAN LETTER ON
ᐊ      CANADIAN SYLLABICS A
ṷ      LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
京      CJK character Nelson  295
大      CJK character Nelson 1171
小      CJK character Nelson 1355
東      CJK character Nelson  213
𐤇      PHOENICIAN LETTER HET
ɐ      LATIN SMALL LETTER TURNED A
ʀ      LATIN LETTER SMALL CAPITAL R
Γ      GREEK CAPITAL LETTER GAMMA
Ш      CYRILLIC CAPITAL LETTER SHA
Э      CYRILLIC CAPITAL LETTER E
Ю      CYRILLIC CAPITAL LETTER YU
Մ      ARMENIAN CAPITAL LETTER MEN
ծ      ARMENIAN SMALL LETTER CA
հ      ARMENIAN SMALL LETTER HO
ὸ      GREEK SMALL LETTER OMICRON WITH VARIA
ン      KATAKANA LETTER N
ć      LATIN SMALL LETTER C WITH ACUTE
ž      LATIN SMALL LETTER Z WITH CARON
ʒ      LATIN SMALL LETTER EZH
Θ      GREEK CAPITAL LETTER THETA
Ν      GREEK CAPITAL LETTER NU
Χ      GREEK CAPITAL LETTER CHI
ܘ      SYRIAC LETTER WAW
ἐ      GREEK SMALL LETTER EPSILON WITH PSILI
ῦ      GREEK SMALL LETTER UPSILON WITH PERISPOMENI
名      CJK character Nelson 1170
海      CJK character Nelson 2553,2556
𐤋      PHOENICIAN LETTER LAMD
𐤌      PHOENICIAN LETTER MEM
𐤏      PHOENICIAN LETTER AIN
𐤕      PHOENICIAN LETTER TAU
å      LATIN SMALL LETTER A WITH RING ABOVE
ā      LATIN SMALL LETTER A WITH MACRON
Š      LATIN CAPITAL LETTER S WITH CARON
ǧ      LATIN SMALL LETTER G WITH CARON
ю      CYRILLIC SMALL LETTER YU
Ա      ARMENIAN CAPITAL LETTER AYB
צ      HEBREW LETTER TSADI
ܪ      SYRIAC LETTER RISH
რ      GEORGIAN LETTER RAE
ἰ      GREEK SMALL LETTER IOTA WITH PSILI
字      CJK character Nelson 1281
𐤍      PHOENICIAN LETTER NUN
𐤓      PHOENICIAN LETTER ROSH
°      DEGREE SIGN
À      LATIN CAPITAL LETTER A WITH GRAVE
ł      LATIN SMALL LETTER L WITH STROKE
ȟ      LATIN SMALL LETTER H WITH CARON
ɣ      LATIN SMALL LETTER GAMMA
Τ      GREEK CAPITAL LETTER TAU
Я      CYRILLIC CAPITAL LETTER YA
ט      HEBREW LETTER TET
غ      ARABIC LETTER GHAIN
ा      DEVANAGARI VOWEL SIGN AA
ὐ      GREEK SMALL LETTER UPSILON WITH PSILI
ɑ      LATIN SMALL LETTER ALPHA
ʁ      LATIN LETTER SMALL CAPITAL INVERTED R
Ρ      GREEK CAPITAL LETTER RHO
ლ      GEORGIAN LETTER LAS
ⴰ      TIFINAGH LETTER YA
Þ      LATIN CAPITAL LETTER THORN
ø      LATIN SMALL LETTER O WITH STROKE
Ο      GREEK CAPITAL LETTER OMICRON
Φ      GREEK CAPITAL LETTER PHI
ъ      CYRILLIC SMALL LETTER HARD SIGN
ῆ      GREEK SMALL LETTER ETA WITH PERISPOMENI
→      RIGHTWARDS ARROW
Հ      ARMENIAN CAPITAL LETTER HO
½      VULGAR FRACTION ONE HALF
ò      LATIN SMALL LETTER O WITH GRAVE
ː      MODIFIER LETTER TRIANGULAR COLON
щ      CYRILLIC SMALL LETTER SHCHA
ß      LATIN SMALL LETTER SHARP S
Ч      CYRILLIC CAPITAL LETTER CHE
մ      ARMENIAN SMALL LETTER MEN
ى      ARABIC LETTER ALEF MAKSURA
æ      LATIN SMALL LETTER AE
ე      GEORGIAN LETTER EN
ს      GEORGIAN LETTER SAN
²      SUPERSCRIPT TWO
ց      ARMENIAN SMALL LETTER CO
ג      HEBREW LETTER GIMEL
ک      ARABIC LETTER KEHEH
ܝ      SYRIAC LETTER YUDH
ʔ      LATIN LETTER GLOTTAL STOP
ս      ARMENIAN SMALL LETTER SEH
פ      HEBREW LETTER PE
э      CYRILLIC SMALL LETTER E
ἀ      GREEK SMALL LETTER ALPHA WITH PSILI
Δ      GREEK CAPITAL LETTER DELTA
ώ      GREEK SMALL LETTER OMEGA WITH TONOS
Ф      CYRILLIC CAPITAL LETTER EF
ղ      ARMENIAN SMALL LETTER GHAD
ז      HEBREW LETTER ZAYIN
ܐ      SYRIAC LETTER ALAPH
ǝ      LATIN SMALL LETTER TURNED E
Ι      GREEK CAPITAL LETTER IOTA
տ      ARMENIAN SMALL LETTER TIWN
Β      GREEK CAPITAL LETTER BETA
ξ      GREEK SMALL LETTER XI
أ      ARABIC LETTER ALEF WITH HAMZA ABOVE
ɔ      LATIN SMALL LETTER OPEN O
ɪ      LATIN LETTER SMALL CAPITAL I
ʧ      LATIN SMALL LETTER TESH DIGRAPH
յ      ARMENIAN SMALL LETTER YI
ῖ      GREEK SMALL LETTER IOTA WITH PERISPOMENI
č      LATIN SMALL LETTER C WITH CARON
š      LATIN SMALL LETTER S WITH CARON
կ      ARMENIAN SMALL LETTER KEN
ք      ARMENIAN SMALL LETTER KEH
خ      ARABIC LETTER KHAH
բ      ARMENIAN SMALL LETTER BEN
ص      ARABIC LETTER SAD
ა      GEORGIAN LETTER AN
Đ      LATIN CAPITAL LETTER D WITH STROKE
ʤ      LATIN SMALL LETTER DEZH DIGRAPH
Ἀ      GREEK CAPITAL LETTER ALPHA WITH PSILI
З      CYRILLIC CAPITAL LETTER ZE
ش      ARABIC LETTER SHEEN
ё      CYRILLIC SMALL LETTER IO
Ս      ARMENIAN CAPITAL LETTER SEH
כ      HEBREW LETTER KAF
ი      GEORGIAN LETTER IN
ð      LATIN SMALL LETTER ETH
¹      SUPERSCRIPT ONE
Е      CYRILLIC CAPITAL LETTER IE
ס      HEBREW LETTER SAMEKH
վ      ARMENIAN SMALL LETTER VEW
ן      HEBREW LETTER FINAL NUN
‬      POP DIRECTIONAL FORMATTING
ˈ      MODIFIER LETTER VERTICAL LINE
ח      HEBREW LETTER HET
ك      ARABIC LETTER KAF
Σ      GREEK CAPITAL LETTER SIGMA
ط      ARABIC LETTER TAH
ی      ARABIC LETTER FARSI YEH
ز      ARABIC LETTER ZAIN
ɛ      LATIN SMALL LETTER OPEN E
ւ      ARMENIAN SMALL LETTER YIWN
£      POUND SIGN
О      CYRILLIC CAPITAL LETTER O
ק      HEBREW LETTER QOF
ƒ      LATIN SMALL LETTER F WITH HOOK
ʃ      LATIN SMALL LETTER ESH
Α      GREEK CAPITAL LETTER ALPHA
ɡ      LATIN SMALL LETTER SCRIPT G
|      VERTICAL LINE
ه      ARABIC LETTER HEH
$      DOLLAR SIGN
á      LATIN SMALL LETTER A WITH ACUTE
Л      CYRILLIC CAPITAL LETTER EL
í      LATIN SMALL LETTER I WITH ACUTE
Ε      GREEK CAPITAL LETTER EPSILON
Κ      GREEK CAPITAL LETTER KAPPA
Μ      GREEK CAPITAL LETTER MU
ф      CYRILLIC SMALL LETTER EF
У      CYRILLIC CAPITAL LETTER U
ت      ARABIC LETTER TEH
ד      HEBREW LETTER DALET
ם      HEBREW LETTER FINAL MEM
β      GREEK SMALL LETTER BETA
ف      ARABIC LETTER FEH
ŋ      LATIN SMALL LETTER ENG
Х      CYRILLIC CAPITAL LETTER HA
ə      LATIN SMALL LETTER SCHWA
Π      GREEK CAPITAL LETTER PI
Ц      CYRILLIC CAPITAL LETTER TSE
נ      HEBREW LETTER NUN
ق      ARABIC LETTER QAF
<      LESS-THAN SIGN
ح      ARABIC LETTER HAH
Д      CYRILLIC CAPITAL LETTER DE
ע      HEBREW LETTER AYIN
ύ      GREEK SMALL LETTER UPSILON WITH TONOS
ш      CYRILLIC SMALL LETTER SHA
ի      ARMENIAN SMALL LETTER INI
ե      ARMENIAN SMALL LETTER ECH
Г      CYRILLIC CAPITAL LETTER GHE
ɹ      LATIN SMALL LETTER TURNED R
ո      ARMENIAN SMALL LETTER VO
ج      ARABIC LETTER JEEM
χ      GREEK SMALL LETTER CHI
ع      ARABIC LETTER AIN
έ      GREEK SMALL LETTER EPSILON WITH TONOS
×      MULTIPLICATION SIGN
И      CYRILLIC CAPITAL LETTER I
і      CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
ל      HEBREW LETTER LAMED
Р      CYRILLIC CAPITAL LETTER ER
ж      CYRILLIC SMALL LETTER ZHE
ր      ARMENIAN SMALL LETTER REH
Т      CYRILLIC CAPITAL LETTER TE
~      TILDE
ն      ARMENIAN SMALL LETTER NOW
מ      HEBREW LETTER MEM
φ      GREEK SMALL LETTER PHI
ב      HEBREW LETTER BET
θ      GREEK SMALL LETTER THETA
Н      CYRILLIC CAPITAL LETTER EN
ש      HEBREW LETTER SHIN
ת      HEBREW LETTER TAV
א      HEBREW LETTER ALEF
ή      GREEK SMALL LETTER ETA WITH TONOS
ة      ARABIC LETTER TEH MARBUTA
€      EURO SIGN
ω      GREEK SMALL LETTER OMEGA
х      CYRILLIC SMALL LETTER HA
δ      GREEK SMALL LETTER DELTA
        LEFT-TO-RIGHT MARK
з      CYRILLIC SMALL LETTER ZE
Б      CYRILLIC CAPITAL LETTER BE
و      ARABIC LETTER WAW
ά      GREEK SMALL LETTER ALPHA WITH TONOS
+      PLUS SIGN
М      CYRILLIC CAPITAL LETTER EM
ό      GREEK SMALL LETTER OMICRON WITH TONOS
د      ARABIC LETTER DAL
س      ARABIC LETTER SEEN
ה      HEBREW LETTER HE
η      GREEK SMALL LETTER ETA
А      CYRILLIC CAPITAL LETTER A
υ      GREEK SMALL LETTER UPSILON
В      CYRILLIC CAPITAL LETTER VE
ו      HEBREW LETTER VAV
ר      HEBREW LETTER RESH
م      ARABIC LETTER MEEM
К      CYRILLIC CAPITAL LETTER KA
ա      ARMENIAN SMALL LETTER AYB
μ      GREEK SMALL LETTER MU
γ      GREEK SMALL LETTER GAMMA
П      CYRILLIC CAPITAL LETTER PE
ب      ARABIC LETTER BEH
ί      GREEK SMALL LETTER IOTA WITH TONOS
п      CYRILLIC SMALL LETTER PE
>      GREATER-THAN SIGN
ц      CYRILLIC SMALL LETTER TSE
ن      ARABIC LETTER NOON
π      GREEK SMALL LETTER PI
κ      GREEK SMALL LETTER KAPPA
σ      GREEK SMALL LETTER SIGMA
●      BLACK CIRCLE
ر      ARABIC LETTER REH
ч      CYRILLIC SMALL LETTER CHE
С      CYRILLIC CAPITAL LETTER ES
ي      ARABIC LETTER YEH
ε      GREEK SMALL LETTER EPSILON
ы      CYRILLIC SMALL LETTER YERU
י      HEBREW LETTER YOD
у      CYRILLIC SMALL LETTER U
        NO-BREAK SPACE
г      CYRILLIC SMALL LETTER GHE
б      CYRILLIC SMALL LETTER BE
ل      ARABIC LETTER LAM
λ      GREEK SMALL LETTER LAMDA
τ      GREEK SMALL LETTER TAU
à      LATIN SMALL LETTER A WITH GRAVE
ρ      GREEK SMALL LETTER RHO
д      CYRILLIC SMALL LETTER DE
ι      GREEK SMALL LETTER IOTA
я      CYRILLIC SMALL LETTER YA
=      EQUALS SIGN
м      CYRILLIC SMALL LETTER EM
ا      ARABIC LETTER ALEF
ν      GREEK SMALL LETTER NU
ς      GREEK SMALL LETTER FINAL SIGMA
ь      CYRILLIC SMALL LETTER SOFT SIGN
й      CYRILLIC SMALL LETTER SHORT I
α      GREEK SMALL LETTER ALPHA
±      PLUS-MINUS SIGN
ο      GREEK SMALL LETTER OMICRON
т      CYRILLIC SMALL LETTER TE
л      CYRILLIC SMALL LETTER EL
в      CYRILLIC SMALL LETTER VE
к      CYRILLIC SMALL LETTER KA
н      CYRILLIC SMALL LETTER EN
с      CYRILLIC SMALL LETTER ES
е      CYRILLIC SMALL LETTER IE
р      CYRILLIC SMALL LETTER ER
и      CYRILLIC SMALL LETTER I
а      CYRILLIC SMALL LETTER A
о      CYRILLIC SMALL LETTER O
