	glyph   name
      2 衎	衎      Unknown character in range CJK Unified Ideographs
      2 表	表      CJK character Nelson  108
      2 触	触      CJK character Nelson 4305
      2 記	記      CJK character Nelson 4318
      2 諱	諱      CJK character Nelson 4397
      2 諸	諸      CJK character Nelson 4393,4395
      2 讀	讀      CJK character Nelson 4375,4450
      2 语	语      Unknown character in range CJK Unified Ideographs
      2 足	足      CJK character Nelson 4546
      2 軒	軒      CJK character Nelson 4611
      2 載	載      CJK character Nelson  789
      2 近	近      CJK character Nelson 4671
      2 重	重      CJK character Nelson  224
      2 鎌	鎌      CJK character Nelson 4902
      2 阪	阪      CJK character Nelson 4979
      2 阳	阳      Unknown character in range CJK Unified Ideographs
      2 隆	隆      CJK character Nelson 4999,5007
      2 集	集      CJK character Nelson 5031
      2 雲	雲      CJK character Nelson 5046
      2 音	音      CJK character Nelson 5110
      2 頼	頼      CJK character Nelson 5129
      2 飾	飾      CJK character Nelson 5161
      2 馬	馬      CJK character Nelson 5191
      2 魔	魔      CJK character Nelson 5398
      2 鲁	鲁      Unknown character in range CJK Unified Ideographs
      2 齐	齐      Unknown character in range CJK Unified Ideographs
      2 계	계      HANGUL SYLLABLE GYE
      2 기	기      HANGUL SYLLABLE GI
      2 동	동      HANGUL SYLLABLE DONG
      2 림	림      HANGUL SYLLABLE LIM
      2 심	심      HANGUL SYLLABLE SIM
      2 재	재      HANGUL SYLLABLE JAE
      2 픽	픽      HANGUL SYLLABLE PIG
      2 헌	헌      HANGUL SYLLABLE HEON
      2 𐌰	𐌰      GOTHIC LETTER AHSA
      2 𐎢	𐎢      OLD PERSIAN SIGN U
      2 𐡀	𐡀      Character in undefined range
      2 𐤅	𐤅      PHOENICIAN LETTER WAU
      2 𐤎	𐤎      PHOENICIAN LETTER SEMK
      2 𒂗	𒂗      CUNEIFORM SIGN EN
      2 𒈾	𒈾      CUNEIFORM SIGN NA
      2 𒊬	𒊬      CUNEIFORM SIGN SAR
      2 𒌷	𒌷      CUNEIFORM SIGN URU
      3 Ð	Ð      LATIN CAPITAL LETTER ETH
      3 Ý	Ý      LATIN CAPITAL LETTER Y WITH ACUTE
      3 Ā	Ā      LATIN CAPITAL LETTER A WITH MACRON
      3 ă	ă      LATIN SMALL LETTER A WITH BREVE
      3 Ĳ	Ĳ      LATIN CAPITAL LIGATURE IJ
      3 ń	ń      LATIN SMALL LETTER N WITH ACUTE
      3 ţ	ţ      LATIN SMALL LETTER T WITH CEDILLA
      3 ź	ź      LATIN SMALL LETTER Z WITH ACUTE
      3 Ż	Ż      LATIN CAPITAL LETTER Z WITH DOT ABOVE
      3 ż	ż      LATIN SMALL LETTER Z WITH DOT ABOVE
      3 ƛ	ƛ      LATIN SMALL LETTER LAMBDA WITH STROKE
      3 ư	ư      LATIN SMALL LETTER U WITH HORN
      3 ƿ	ƿ      LATIN LETTER WYNN
      3 ɂ	ɂ      LATIN SMALL LETTER GLOTTAL STOP
      3 ʣ	ʣ      LATIN SMALL LETTER DZ DIGRAPH
      3 ʨ	ʨ      LATIN SMALL LETTER TC DIGRAPH WITH CURL
      3 ΄	΄      GREEK TONOS
      3 Η	Η      GREEK CAPITAL LETTER ETA
      3 Ξ	Ξ      GREEK CAPITAL LETTER XI
      3 Υ	Υ      GREEK CAPITAL LETTER UPSILON
      3 Ψ	Ψ      GREEK CAPITAL LETTER PSI
      3 є	є      CYRILLIC SMALL LETTER UKRAINIAN IE
      3 ә	ә      CYRILLIC SMALL LETTER SCHWA
      3 ө	ө      CYRILLIC SMALL LETTER BARRED O
      3 Զ	Զ      ARMENIAN CAPITAL LETTER ZA
      3 Ծ	Ծ      ARMENIAN CAPITAL LETTER CA
      3 Ն	Ն      ARMENIAN CAPITAL LETTER NOW
      3 է	է      ARMENIAN SMALL LETTER EH
      3 և	և      ARMENIAN SMALL LIGATURE ECH YIWN
      3 ף	ף      HEBREW LETTER FINAL PE
      3 ؤ	ؤ      ARABIC LETTER WAW WITH HAMZA ABOVE
      3 ٹ	ٹ      ARABIC LETTER TTEH
      3 ܟ	ܟ      SYRIAC LETTER KAPH
      3 ܠ	ܠ      SYRIAC LETTER LAMADH
      3 ܦ	ܦ      SYRIAC LETTER PE
      3 त	त      DEVANAGARI LETTER TA
      3 भ	भ      DEVANAGARI LETTER BHA
      3 स	स      DEVANAGARI LETTER SA
      3 ि	ि      DEVANAGARI VOWEL SIGN I
      3 ो	ो      DEVANAGARI VOWEL SIGN O
      3 ক	ক      BENGALI LETTER KA
      3 ਿ	ਿ      GURMUKHI VOWEL SIGN I
      3 લ	લ      GUJARATI LETTER LA
      3 ச	ச      TAMIL LETTER CA
      3 ன	ன      TAMIL LETTER NNNA
      3 ய	ய      TAMIL LETTER YA
      3 ர	ர      TAMIL LETTER RA
      3 ல	ல      TAMIL LETTER LA
      3 ழ	ழ      TAMIL LETTER LLLA
      3 ா	ா      TAMIL VOWEL SIGN AA
      3 ง	ง      THAI CHARACTER NGO NGU
      3 พ	พ      THAI CHARACTER PHO PHAN
      3 ย	ย      THAI CHARACTER YO YAK
      3 ན	ན      TIBETAN LETTER NA
      3 ར	ར      TIBETAN LETTER RA
      3 ძ	ძ      GEORGIAN LETTER JIL
      3 መ	መ      ETHIOPIC SYLLABLE MA
      3 ር	ር      ETHIOPIC SYLLABLE RE
      3 አ	አ      ETHIOPIC SYLLABLE GLOTTAL A
      3 ክ	ክ      ETHIOPIC SYLLABLE KE
      3 ᑦ	ᑦ      CANADIAN SYLLABICS T
      3 ᚺ	ᚺ      RUNIC LETTER HAGLAZ H
      3 ᛁ	ᛁ      RUNIC LETTER ISAZ IS ISS I
      3 ᛏ	ᛏ      RUNIC LETTER TIWAZ TIR TYR T
      3 ᛟ	ᛟ      RUNIC LETTER OTHALAN ETHEL O
      3 ᠡ	ᠡ      MONGOLIAN LETTER E
      3 ḏ	ḏ      LATIN SMALL LETTER D WITH LINE BELOW
      3 Ἔ	Ἔ      GREEK CAPITAL LETTER EPSILON WITH PSILI AND OXIA
      3 Ἠ	Ἠ      GREEK CAPITAL LETTER ETA WITH PSILI
      3 Ὀ	Ὀ      GREEK CAPITAL LETTER OMICRON WITH PSILI
      3 ὕ	ὕ      GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA
      3 ὴ	ὴ      GREEK SMALL LETTER ETA WITH VARIA
      3 ῳ	ῳ      GREEK SMALL LETTER OMEGA WITH YPOGEGRAMMENI
      3 ‏	        RIGHT-TO-LEFT MARK
      3 ♣	♣      BLACK CLUB SUIT
      3 Ⱏ	Ⱏ      GLAGOLITIC CAPITAL LETTER YERU
      3 ⵍ	ⵍ      TIFINAGH LETTER YAL
      3 ⵗ	ⵗ      TIFINAGH LETTER TUAREG YAGH
      3 ⵣ	ⵣ      TIFINAGH LETTER YAZ
      3 い	い      HIRAGANA LETTER I
      3 お	お      HIRAGANA LETTER O
      3 さ	さ      HIRAGANA LETTER SA
      3 ら	ら      HIRAGANA LETTER RA
      3 ィ	ィ      KATAKANA LETTER SMALL I
      3 イ	イ      KATAKANA LETTER I
      3 ガ	ガ      KATAKANA LETTER GA
      3 ジ	ジ      KATAKANA LETTER ZI
      3 タ	タ      KATAKANA LETTER TA
      3 テ	テ      KATAKANA LETTER TE
      3 デ	デ      KATAKANA LETTER DE
      3 ネ	ネ      KATAKANA LETTER NE
      3 ハ	ハ      KATAKANA LETTER HA
      3 ピ	ピ      KATAKANA LETTER PI
      3 ブ	ブ      KATAKANA LETTER BU
      3 二	二      CJK character Nelson  273
      3 井	井      CJK character Nelson  165
      3 代	代      CJK character Nelson  364
      3 俠	俠      CJK character Nelson  445
      3 円	円      CJK character Nelson  617
      3 北	北      CJK character Nelson  751,  20
      3 南	南      CJK character Nelson  778
      3 哈	哈      Unknown character in range CJK Unified Ideographs
      3 嚏	嚏      Unknown character in range CJK Unified Ideographs
      3 奈	奈      CJK character Nelson 1174
      3 女	女      CJK character Nelson 1185
      3 家	家      CJK character Nelson 1311
      3 尔	尔      Unknown character in range CJK Unified Ideographs
      3 州	州      CJK character Nelson   99
      3 德	德      CJK character Nelson 1636,1633
      3 戸	戸      CJK character Nelson 1817
      3 新	新      CJK character Nelson 2080
      3 晋	晋      CJK character Nelson   55
      3 有	有      CJK character Nelson 3727
      3 朝	朝      CJK character Nelson 3788
      3 梅	梅      CJK character Nelson 2258
      3 正	正      CJK character Nelson   27
      3 毛	毛      CJK character Nelson 2473
      3 江	江      CJK character Nelson 2491
      3 源	源      CJK character Nelson 2656
      3 漫	漫      CJK character Nelson 2683
      3 由	由      CJK character Nelson   89
      3 町	町      CJK character Nelson 2995
      3 知	知      CJK character Nelson 3169
      3 秋	秋      CJK character Nelson 3273
      3 美	美      CJK character Nelson 3658
      3 老	老      CJK character Nelson 3683
      3 聖	聖      CJK character Nelson 2960
      3 臥	臥      CJK character Nelson 3839
      3 自	自      CJK character Nelson 3841
      3 言	言      CJK character Nelson 4309
      3 谷	谷      CJK character Nelson 4458
      3 賞	賞      CJK character Nelson 1372
      3 込	込      CJK character Nelson 4660
      3 連	連      CJK character Nelson 4702
      3 邊	邊      CJK character Nelson 4753
      3 金	金      CJK character Nelson 4815
      3 風	風      CJK character Nelson 5148
      3 高	高      CJK character Nelson 5247,5248
      3 麒	麒      CJK character Nelson 5380
      3 麟	麟      CJK character Nelson 5383
      3 黒	黒      CJK character Nelson 5403
      3 龙	龙      Unknown character in range CJK Unified Ideographs
      3 𐤃	𐤃      PHOENICIAN LETTER DELT
      3 𐤉	𐤉      PHOENICIAN LETTER YOD
      3 𐤔	𐤔      PHOENICIAN LETTER SHIN
      3 𒀀	𒀀      CUNEIFORM SIGN A
      3 𒉈	𒉈      CUNEIFORM SIGN NE
      3 𒌵	𒌵      CUNEIFORM SIGN URI
      4 Ø	Ø      LATIN CAPITAL LETTER O WITH STROKE
      4 ù	ù      LATIN SMALL LETTER U WITH GRAVE
      4 ą	ą      LATIN SMALL LETTER A WITH OGONEK
      4 ħ	ħ      LATIN SMALL LETTER H WITH STROKE
      4 į	į      LATIN SMALL LETTER I WITH OGONEK
      4 ĳ	ĳ      LATIN SMALL LIGATURE IJ
      4 ř	ř      LATIN SMALL LETTER R WITH CARON
      4 ś	ś      LATIN SMALL LETTER S WITH ACUTE
      4 Ş	Ş      LATIN CAPITAL LETTER S WITH CEDILLA
      4 ɫ	ɫ      LATIN SMALL LETTER L WITH MIDDLE TILDE
      4 ʊ	ʊ      LATIN SMALL LETTER UPSILON
      4 ʋ	ʋ      LATIN SMALL LETTER V WITH HOOK
      4 ʲ	ʲ      MODIFIER LETTER SMALL J
      4 ʿ	ʿ      MODIFIER LETTER LEFT HALF RING
      4 ˀ	ˀ      MODIFIER LETTER GLOTTAL STOP
      4 ψ	ψ      GREEK SMALL LETTER PSI
      4 ϲ	ϲ      GREEK LUNATE SIGMA SYMBOL
      4 қ	қ      CYRILLIC SMALL LETTER KA WITH DESCENDER
      4 Խ	Խ      ARMENIAN CAPITAL LETTER XEH
      4 Կ	Կ      ARMENIAN CAPITAL LETTER KEN
      4 Յ	Յ      ARMENIAN CAPITAL LETTER YI
      4 շ	շ      ARMENIAN SMALL LETTER SHA
      4 پ	پ      ARABIC LETTER PEH
      4 ܒ	ܒ      SYRIAC LETTER BETH
      4 ܛ	ܛ      SYRIAC LETTER TETH
      4 ण	ण      DEVANAGARI LETTER NNA
      4 ம	ம      TAMIL LETTER MA
      4 ท	ท      THAI CHARACTER THO THAHAN
      4 ร	ร      THAI CHARACTER RO RUA
      4 ล	ล      THAI CHARACTER LO LING
      4 བ	བ      TIBETAN LETTER BA
      4 დ	დ      GEORGIAN LETTER DON
      4 ქ	ქ      GEORGIAN LETTER KHAR
      4 ያ	ያ      ETHIOPIC SYLLABLE YAA
      4 ᐎ	ᐎ      CANADIAN SYLLABICS WI
      4 ᐧ	ᐧ      CANADIAN SYLLABICS FINAL MIDDLE DOT
      4 ᑐ	ᑐ      CANADIAN SYLLABICS TO
      4 ᑕ	ᑕ      CANADIAN SYLLABICS TA
      4 ᑯ	ᑯ      CANADIAN SYLLABICS KO
      4 ᒃ	ᒃ      CANADIAN SYLLABICS K
      4 ᓄ	ᓄ      CANADIAN SYLLABICS NO
      4 ẗ	ẗ      LATIN SMALL LETTER T WITH DIAERESIS
      4 Ἐ	Ἐ      GREEK CAPITAL LETTER EPSILON WITH PSILI
      4 Ἑ	Ἑ      GREEK CAPITAL LETTER EPSILON WITH DASIA
      4 ἴ	ἴ      GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
      4 ὶ	ὶ      GREEK SMALL LETTER IOTA WITH VARIA
      4 ⴱ	ⴱ      TIFINAGH LETTER YAB
      4 ⴼ	ⴼ      TIFINAGH LETTER YAF
      4 ⵖ	ⵖ      TIFINAGH LETTER YAGH
      4 ア	ア      KATAKANA LETTER A
      4 オ	オ      KATAKANA LETTER O
      4 カ	カ      KATAKANA LETTER KA
      4 キ	キ      KATAKANA LETTER KI
      4 チ	チ      KATAKANA LETTER TI
      4 マ	マ      KATAKANA LETTER MA
      4 モ	モ      KATAKANA LETTER MO
      4 三	三      CJK character Nelson    8
      4 下	下      CJK character Nelson    9
      4 中	中      CJK character Nelson   81
      4 体	体      CJK character Nelson  405
      4 号	号      CJK character Nelson  882
      4 司	司      CJK character Nelson  877
      4 四	四      CJK character Nelson 1025
      4 士	士      CJK character Nelson 1160
      4 天	天      CJK character Nelson   16
      4 姓	姓      CJK character Nelson 1203
      4 川	川      CJK character Nelson 1447
      4 文	文      CJK character Nelson 2064
      4 林	林      CJK character Nelson 2210
      4 氏	氏      CJK character Nelson 2478
      4 洲	洲      CJK character Nelson 2539
      4 爆	爆      CJK character Nelson 2818
      4 珠	珠      CJK character Nelson 2936
      4 生	生      CJK character Nelson 2991
      4 田	田      CJK character Nelson 2994
      4 男	男      CJK character Nelson 2996
      4 画	画      CJK character Nelson   50,3721
      4 語	語      CJK character Nelson 4374
      4 諡	諡      CJK character Nelson 4398
      4 路	路      CJK character Nelson 4561
      4 道	道      CJK character Nelson 4724
      4 長	長      CJK character Nelson 4938
      4 體	體      CJK character Nelson 5245
      4 龍	龍      CJK character Nelson 3351,5440
      4 𐤆	𐤆      PHOENICIAN LETTER ZAI
      4 𒁺	𒁺      CUNEIFORM SIGN DU
      4 𒂵	𒂵      CUNEIFORM SIGN GA
      5 ®	®      REGISTERED SIGN
      5 ³	³      SUPERSCRIPT THREE
      5 ē	ē      LATIN SMALL LETTER E WITH MACRON
      5 ū	ū      LATIN SMALL LETTER U WITH MACRON
      5 ʾ	ʾ      MODIFIER LETTER RIGHT HALF RING
      5 ј	ј      CYRILLIC SMALL LETTER JE
      5 ў	ў      CYRILLIC SMALL LETTER SHORT U
      5 Տ	Տ      ARMENIAN CAPITAL LETTER TIWN
      5 ظ	ظ      ARABIC LETTER ZAH
      5 ܣ	ܣ      SYRIAC LETTER SEMKATH
      5 ड	ड      DEVANAGARI LETTER DDA
      5 द	द      DEVANAGARI LETTER DA
      5 प	प      DEVANAGARI LETTER PA
      5 य	य      DEVANAGARI LETTER YA
      5 ह	ह      DEVANAGARI LETTER HA
      5 ी	ी      DEVANAGARI VOWEL SIGN II
      5 া	া      BENGALI VOWEL SIGN AA
      5 ก	ก      THAI CHARACTER KO KAI
      5 น	น      THAI CHARACTER NO NU
      5 เ	เ      THAI CHARACTER SARA E
      5 კ	კ      GEORGIAN LETTER KAN
      5 ስ	ስ      ETHIOPIC SYLLABLE SE
      5 ን	ን      ETHIOPIC SYLLABLE NE
      5 ᐠ	ᐠ      CANADIAN SYLLABICS FINAL GRAVE
      5 ᐱ	ᐱ      CANADIAN SYLLABICS PI
      5 ᑭ	ᑭ      CANADIAN SYLLABICS KI
      5 ᒪ	ᒪ      CANADIAN SYLLABICS MA
      5 ᓯ	ᓯ      CANADIAN SYLLABICS SI
      5 ᚨ	ᚨ      RUNIC LETTER ANSUZ A
      5 ḫ	ḫ      LATIN SMALL LETTER H WITH BREVE BELOW
      5 ἡ	ἡ      GREEK SMALL LETTER ETA WITH DASIA
      5 ᾶ	ᾶ      GREEK SMALL LETTER ALPHA WITH PERISPOMENI
      5 ​	        ZERO WIDTH SPACE
      5 り	り      HIRAGANA LETTER RI
      5 ド	ド      KATAKANA LETTER DO
      5 リ	リ      KATAKANA LETTER RI
      5 一	一      CJK character Nelson    1
      5 上	上      CJK character Nelson  798
      5 公	公      CJK character Nelson  579
      5 原	原      CJK character Nelson  825
      5 地	地      CJK character Nelson 1056
      5 太	太      CJK character Nelson 1172
      5 夫	夫      CJK character Nelson  164
      5 安	安      CJK character Nelson 1283
      5 宮	宮      CJK character Nelson 1310
      5 歌	歌      CJK character Nelson 2422
      5 武	武      CJK character Nelson   51
      5 河	河      CJK character Nelson 2530
      5 芸	芸      CJK character Nelson 3908
      5 虎	虎      CJK character Nelson 4105
      5 野	野      CJK character Nelson 4814
      5 香	香      CJK character Nelson 5188
      5 𐤀	𐤀      PHOENICIAN LETTER ALF
      5 𐤊	𐤊      PHOENICIAN LETTER KAF
      5 𒀭	𒀭      CUNEIFORM SIGN AN
      6 ´	´      ACUTE ACCENT
      6 Í	Í      LATIN CAPITAL LETTER I WITH ACUTE
      6 î	î      LATIN SMALL LETTER I WITH CIRCUMFLEX
      6 õ	õ      LATIN SMALL LETTER O WITH TILDE
      6 ǔ	ǔ      LATIN SMALL LETTER U WITH CARON
      6 ɾ	ɾ      LATIN SMALL LETTER R WITH FISHHOOK
      6 ʌ	ʌ      LATIN SMALL LETTER TURNED V
      6 Ω	Ω      GREEK CAPITAL LETTER OMEGA
      6 ϵ	ϵ      GREEK LUNATE EPSILON SYMBOL
      6 ћ	ћ      CYRILLIC SMALL LETTER TSHE
      6 Լ	Լ      ARMENIAN CAPITAL LETTER LIWN
      6 գ	գ      ARMENIAN SMALL LETTER GIM
      6 դ	դ      ARMENIAN SMALL LETTER DA
      6 փ	փ      ARMENIAN SMALL LETTER PIWR
      6 ך	ך      HEBREW LETTER FINAL KAF
      6 گ	گ      ARABIC LETTER GAF
      6 ܡ	ܡ      SYRIAC LETTER MIM
      6 क	क      DEVANAGARI LETTER KA
      6 ப	ப      TAMIL LETTER PA
      6 า	า      THAI CHARACTER SARA AA
      6 ᐃ	ᐃ      CANADIAN SYLLABICS I
      6 ᐦ	ᐦ      CANADIAN SYLLABICS FINAL DOUBLE SHORT VERTICAL STROKES
      6 ᑲ	ᑲ      CANADIAN SYLLABICS KA
      6 ṣ	ṣ      LATIN SMALL LETTER S WITH DOT BELOW
      6 ἑ	ἑ      GREEK SMALL LETTER EPSILON WITH DASIA
      6 ⅓	⅓      VULGAR FRACTION ONE THIRD
      6 ⵎ	ⵎ      TIFINAGH LETTER YAM
      6 ん	ん      HIRAGANA LETTER N
      6 仁	仁      CJK character Nelson  349
      6 國	國      CJK character Nelson 1042
      6 市	市      CJK character Nelson  284
      6 平	平      CJK character Nelson   26
      6 松	松      CJK character Nelson 2212
      6 王	王      CJK character Nelson 2922
      6 真	真      CJK character Nelson  783
      6 藏	藏      CJK character Nelson 4078
      6 藤	藤      CJK character Nelson 4090
      6 西	西      CJK character Nelson 4273
      6 𐤂	𐤂      PHOENICIAN LETTER GAML
      6 𒆠	𒆠      CUNEIFORM SIGN KI
      7 Á	Á      LATIN CAPITAL LETTER A WITH ACUTE
      7 ç	ç      LATIN SMALL LETTER C WITH CEDILLA
      7 đ	đ      LATIN SMALL LETTER D WITH STROKE
      7 ī	ī      LATIN SMALL LETTER I WITH MACRON
      7 ş	ş      LATIN SMALL LETTER S WITH CEDILLA
      7 ɜ	ɜ      LATIN SMALL LETTER REVERSED OPEN E
      7 ʦ	ʦ      LATIN SMALL LETTER TS DIGRAPH
      7 Ζ	Ζ      GREEK CAPITAL LETTER ZETA
      7 ζ	ζ      GREEK SMALL LETTER ZETA
      7 Թ	Թ      ARMENIAN CAPITAL LETTER TO
      7 լ	լ      ARMENIAN SMALL LETTER LIWN
      7 ث	ث      ARABIC LETTER THEH
      7 ذ	ذ      ARABIC LETTER THAL
      7 ܫ	ܫ      SYRIAC LETTER SHIN
      7 ग	ग      DEVANAGARI LETTER GA
      7 न	न      DEVANAGARI LETTER NA
      7 ტ	ტ      GEORGIAN LETTER TAR
      7 ᓇ	ᓇ      CANADIAN SYLLABICS NA
      7 ḍ	ḍ      LATIN SMALL LETTER D WITH DOT BELOW
      7 ṭ	ṭ      LATIN SMALL LETTER T WITH DOT BELOW
      7 ἄ	ἄ      GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA
      7 Ἄ	Ἄ      GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA
      7 Ἡ	Ἡ      GREEK CAPITAL LETTER ETA WITH DASIA
      7 Ἰ	Ἰ      GREEK CAPITAL LETTER IOTA WITH PSILI
      7 ὰ	ὰ      GREEK SMALL LETTER ALPHA WITH VARIA
      7 ῶ	ῶ      GREEK SMALL LETTER OMEGA WITH PERISPOMENI
      7 ♥	♥      BLACK HEART SUIT
      7 の	の      HIRAGANA LETTER NO
      7 ク	ク      KATAKANA LETTER KU
      7 ー	ー      KATAKANA-HIRAGANA PROLONGED SOUND MARK
      7 国	国      CJK character Nelson 1037
      7 山	山      CJK character Nelson 1407
      7 島	島      CJK character Nelson 5343, 230
      7 李	李      CJK character Nelson 2179
      7 號	號      Unknown character in range CJK Unified Ideographs
      7 郎	郎      CJK character Nelson 4762,4763
      7 都	都      CJK character Nelson 4769
      7 𐤐	𐤐      PHOENICIAN LETTER PE
      8 Å	Å      LATIN CAPITAL LETTER A WITH RING ABOVE
      8 Æ	Æ      LATIN CAPITAL LETTER AE
      8 ì	ì      LATIN SMALL LETTER I WITH GRAVE
      8 ý	ý      LATIN SMALL LETTER Y WITH ACUTE
      8 þ	þ      LATIN SMALL LETTER THORN
      8 ō	ō      LATIN SMALL LETTER O WITH MACRON
      8 ʷ	ʷ      MODIFIER LETTER SMALL W
      8 Ά	Ά      GREEK CAPITAL LETTER ALPHA WITH TONOS
      8 Ж	Ж      CYRILLIC CAPITAL LETTER ZHE
      8 չ	չ      ARMENIAN SMALL LETTER CHA
      8 ռ	ռ      ARMENIAN SMALL LETTER RA
      8 ܢ	ܢ      SYRIAC LETTER NUN
      8 ܬ	ܬ      SYRIAC LETTER TAW
      8 ு	ு      TAMIL VOWEL SIGN U
      8 ნ	ნ      GEORGIAN LETTER NAR
      8 ᐢ	ᐢ      CANADIAN SYLLABICS FINAL TOP HALF RING
      8 ἔ	ἔ      GREEK SMALL LETTER EPSILON WITH PSILI AND OXIA
      8 ⅔	⅔      VULGAR FRACTION TWO THIRDS
      8 −	−      MINUS SIGN
      8 ⵏ	ⵏ      TIFINAGH LETTER YAN
      8 ⵜ	ⵜ      TIFINAGH LETTER YAT
      8 ス	ス      KATAKANA LETTER SU
      8 ト	ト      KATAKANA LETTER TO
      8 木	木      CJK character Nelson 2170
      9 ^	^      CIRCUMFLEX ACCENT
      9 `	`      GRAVE ACCENT
      9 ġ	ġ      LATIN SMALL LETTER G WITH DOT ABOVE
      9 ũ	ũ      LATIN SMALL LETTER U WITH TILDE
      9 ɲ	ɲ      LATIN SMALL LETTER N WITH LEFT HOOK
      9 І	І      CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
      9 Գ	Գ      ARMENIAN CAPITAL LETTER GIM
      9 ճ	ճ      ARMENIAN SMALL LETTER CHEH
      9 آ	آ      ARABIC LETTER ALEF WITH MADDA ABOVE
      9 ض	ض      ARABIC LETTER DAD
      9 த	த      TAMIL LETTER TA
      9 ி	ி      TAMIL VOWEL SIGN I
      9 მ	მ      GEORGIAN LETTER MAN
      9 უ	უ      GEORGIAN LETTER UN
      9 ᓂ	ᓂ      CANADIAN SYLLABICS NI
      9 ḥ	ḥ      LATIN SMALL LETTER H WITH DOT BELOW
      9 Ἱ	Ἱ      GREEK CAPITAL LETTER IOTA WITH DASIA
      9 ὁ	ὁ      GREEK SMALL LETTER OMICRON WITH DASIA
      9 ル	ル      KATAKANA LETTER RU
      9 日	日      CJK character Nelson 2097
      9 𐤒	𐤒      PHOENICIAN LETTER QOF
     10 ğ	ğ      LATIN SMALL LETTER G WITH BREVE
     10 ı	ı      LATIN SMALL LETTER DOTLESS I
     10 œ	œ      LATIN SMALL LIGATURE OE
     10 ї	ї      CYRILLIC SMALL LETTER YI
     10 Վ	Վ      ARMENIAN CAPITAL LETTER VEW
     10 պ	պ      ARMENIAN SMALL LETTER PEH
     10 ܕ	ܕ      SYRIAC LETTER DALATH
     10 ბ	ბ      GEORGIAN LETTER BAN
     10 ვ	ვ      GEORGIAN LETTER VIN
     10 თ	თ      GEORGIAN LETTER TAN
     10 ὀ	ὀ      GREEK SMALL LETTER OMICRON WITH PSILI
     10 ⵉ	ⵉ      TIFINAGH LETTER YI
     10 ラ	ラ      KATAKANA LETTER RA
     10 本	本      CJK character Nelson   96
     10 𐤁	𐤁      PHOENICIAN LETTER BET
     11 è	è      LATIN SMALL LETTER E WITH GRAVE
     11 ĩ	ĩ      LATIN SMALL LETTER I WITH TILDE
     11 ʰ	ʰ      MODIFIER LETTER SMALL H
     11 ϊ	ϊ      GREEK SMALL LETTER IOTA WITH DIALYTIKA
     11 Ե	Ե      ARMENIAN CAPITAL LETTER ECH
     11 թ	թ      ARMENIAN SMALL LETTER TO
     11 ء	ء      ARABIC LETTER HAMZA
     11 إ	إ      ARABIC LETTER ALEF WITH HAMZA BELOW
     11 म	म      DEVANAGARI LETTER MA
     11 र	र      DEVANAGARI LETTER RA
     11 Ἁ	Ἁ      GREEK CAPITAL LETTER ALPHA WITH DASIA
     11 ♀	♀      FEMALE SIGN
     11 ♂	♂      MALE SIGN
     11 ッ	ッ      KATAKANA LETTER SMALL TU
     11 子	子      CJK character Nelson 1264
     12 ã	ã      LATIN SMALL LETTER A WITH TILDE
     12 Ł	Ł      LATIN CAPITAL LETTER L WITH STROKE
     12 Λ	Λ      GREEK CAPITAL LETTER LAMDA
     12 ئ	ئ      ARABIC LETTER YEH WITH HAMZA ABOVE
     12 ო	ო      GEORGIAN LETTER ON
     12 ᐊ	ᐊ      CANADIAN SYLLABICS A
     12 ṷ	ṷ      LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
     12 京	京      CJK character Nelson  295
     12 大	大      CJK character Nelson 1171
     12 小	小      CJK character Nelson 1355
     12 東	東      CJK character Nelson  213
     12 𐤇	𐤇      PHOENICIAN LETTER HET
     13 ɐ	ɐ      LATIN SMALL LETTER TURNED A
     13 ʀ	ʀ      LATIN LETTER SMALL CAPITAL R
     13 Γ	Γ      GREEK CAPITAL LETTER GAMMA
     13 Ш	Ш      CYRILLIC CAPITAL LETTER SHA
     13 Э	Э      CYRILLIC CAPITAL LETTER E
     13 Ю	Ю      CYRILLIC CAPITAL LETTER YU
     13 Մ	Մ      ARMENIAN CAPITAL LETTER MEN
     13 ծ	ծ      ARMENIAN SMALL LETTER CA
     13 հ	հ      ARMENIAN SMALL LETTER HO
     13 ὸ	ὸ      GREEK SMALL LETTER OMICRON WITH VARIA
     13 ン	ン      KATAKANA LETTER N
     14 ć	ć      LATIN SMALL LETTER C WITH ACUTE
     14 ž	ž      LATIN SMALL LETTER Z WITH CARON
     14 ʒ	ʒ      LATIN SMALL LETTER EZH
     14 Θ	Θ      GREEK CAPITAL LETTER THETA
     14 Ν	Ν      GREEK CAPITAL LETTER NU
     14 Χ	Χ      GREEK CAPITAL LETTER CHI
     14 ܘ	ܘ      SYRIAC LETTER WAW
     14 ἐ	ἐ      GREEK SMALL LETTER EPSILON WITH PSILI
     14 ῦ	ῦ      GREEK SMALL LETTER UPSILON WITH PERISPOMENI
     14 名	名      CJK character Nelson 1170
     14 海	海      CJK character Nelson 2553,2556
     14 𐤋	𐤋      PHOENICIAN LETTER LAMD
