	glyph   name
      1 Ἕ	Ἕ      GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
      1 ἤ	ἤ      GREEK SMALL LETTER ETA WITH PSILI AND OXIA
      1 Ὄ	Ὄ      GREEK CAPITAL LETTER OMICRON WITH PSILI AND OXIA
      1 ὑ	ὑ      GREEK SMALL LETTER UPSILON WITH DASIA
      1 ὔ	ὔ      GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
      1 ὖ	ὖ      GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
      1 Ὑ	Ὑ      GREEK CAPITAL LETTER UPSILON WITH DASIA
      1 ὠ	ὠ      GREEK SMALL LETTER OMEGA WITH PSILI
      1 ὤ	ὤ      GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA
      1 ὲ	ὲ      GREEK SMALL LETTER EPSILON WITH VARIA
      1 ὼ	ὼ      GREEK SMALL LETTER OMEGA WITH VARIA
      1 ᾄ	ᾄ      GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI
      1 ᾰ	ᾰ      GREEK SMALL LETTER ALPHA WITH VRACHY
      1 ᾱ	ᾱ      GREEK SMALL LETTER ALPHA WITH MACRON
      1 ᾳ	ᾳ      GREEK SMALL LETTER ALPHA WITH YPOGEGRAMMENI
      1 ῇ	ῇ      GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
      1 Ὴ	Ὴ      GREEK CAPITAL LETTER ETA WITH VARIA
      1 ῤ	ῤ      GREEK SMALL LETTER RHO WITH PSILI
      1 ῥ	ῥ      GREEK SMALL LETTER RHO WITH DASIA
      1 ῴ	ῴ      GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
      1 ῾	῾      GREEK DASIA
      1  	        HAIR SPACE
      1 ⁿ	ⁿ      SUPERSCRIPT LATIN SMALL LETTER N
      1 ₢	₢      CRUZEIRO SIGN
      1 ₧	₧      PESETA SIGN
      1 ₿	₿      Undefined in range Currency Symbols
      1 №	№      NUMERO SIGN
      1 ℛ	ℛ      SCRIPT CAPITAL R
      1 ℳ	ℳ      SCRIPT CAPITAL M
      1 ∅	∅      EMPTY SET
      1 ∞	∞      INFINITY
      1 ≈	≈      ALMOST EQUAL TO
      1 ≥	≥      GREATER-THAN OR EQUAL TO
      1 ◌	◌      DOTTED CIRCLE
      1 ☣	☣      BIOHAZARD SIGN
      1 ✝	✝      LATIN CROSS
      1 Ⰲ	Ⰲ      GLAGOLITIC CAPITAL LETTER VEDE
      1 Ⰸ	Ⰸ      GLAGOLITIC CAPITAL LETTER ZEMLJA
      1 Ⰺ	Ⰺ      GLAGOLITIC CAPITAL LETTER INITIAL IZHE
      1 Ⰾ	Ⰾ      GLAGOLITIC CAPITAL LETTER LJUDIJE
      1 Ⱀ	Ⱀ      GLAGOLITIC CAPITAL LETTER NASHI
      1 Ⱁ	Ⱁ      GLAGOLITIC CAPITAL LETTER ONU
      1 Ⱐ	Ⱐ      GLAGOLITIC CAPITAL LETTER YERI
      1 Ⱑ	Ⱑ      GLAGOLITIC CAPITAL LETTER YATI
      1 Ⱗ	Ⱗ      GLAGOLITIC CAPITAL LETTER IOTATED SMALL YUS
      1 Ⲅ	Ⲅ      COPTIC CAPITAL LETTER GAMMA
      1 ⲅ	ⲅ      COPTIC SMALL LETTER GAMMA
      1 ⲉ	ⲉ      COPTIC SMALL LETTER EIE
      1 ⲓ	ⲓ      COPTIC SMALL LETTER IAUDA
      1 ⲣ	ⲣ      COPTIC SMALL LETTER RO
      1 ⲥ	ⲥ      COPTIC SMALL LETTER SIMA
      1 ⴳ	ⴳ      TIFINAGH LETTER YAG
      1 ⵃ	ⵃ      TIFINAGH LETTER YAHH
      1 ⵇ	ⵇ      TIFINAGH LETTER YAQ
      1 ⵢ	ⵢ      TIFINAGH LETTER YAY
      1 う	う      HIRAGANA LETTER U
      1 が	が      HIRAGANA LETTER GA
      1 じ	じ      HIRAGANA LETTER ZI
      1 つ	つ      HIRAGANA LETTER TU
      1 て	て      HIRAGANA LETTER TE
      1 と	と      HIRAGANA LETTER TO
      1 な	な      HIRAGANA LETTER NA
      1 に	に      HIRAGANA LETTER NI
      1 は	は      HIRAGANA LETTER HA
      1 ば	ば      HIRAGANA LETTER BA
      1 び	び      HIRAGANA LETTER BI
      1 べ	べ      HIRAGANA LETTER BE
      1 め	め      HIRAGANA LETTER ME
      1 ゆ	ゆ      HIRAGANA LETTER YU
      1 よ	よ      HIRAGANA LETTER YO
      1 る	る      HIRAGANA LETTER RU
      1 れ	れ      HIRAGANA LETTER RE
      1 ァ	ァ      KATAKANA LETTER SMALL A
      1 グ	グ      KATAKANA LETTER GU
      1 コ	コ      KATAKANA LETTER KO
      1 ゴ	ゴ      KATAKANA LETTER GO
      1 サ	サ      KATAKANA LETTER SA
      1 ゼ	ゼ      KATAKANA LETTER ZE
      1 ダ	ダ      KATAKANA LETTER DA
      1 ナ	ナ      KATAKANA LETTER NA
      1 バ	バ      KATAKANA LETTER BA
      1 ヒ	ヒ      KATAKANA LETTER HI
      1 ビ	ビ      KATAKANA LETTER BI
      1 ベ	ベ      KATAKANA LETTER BE
      1 ホ	ホ      KATAKANA LETTER HO
      1 ム	ム      KATAKANA LETTER MU
      1 メ	メ      KATAKANA LETTER ME
      1 ャ	ャ      KATAKANA LETTER SMALL YA
      1 ヤ	ヤ      KATAKANA LETTER YA
      1 ュ	ュ      KATAKANA LETTER SMALL YU
      1 レ	レ      KATAKANA LETTER RE
      1 七	七      CJK character Nelson  261
      1 与	与      CJK character Nelson    6
      1 业	业      CJK character Nelson   20
      1 久	久      CJK character Nelson  153
      1 乌	乌      Unknown character in range CJK Unified Ideographs
      1 九	九      CJK character Nelson  146
      1 习	习      Unknown character in range CJK Unified Ideographs
      1 乡	乡      Unknown character in range CJK Unified Ideographs
      1 事	事      CJK character Nelson  272
      1 云	云      CJK character Nelson  274
      1 仕	仕      CJK character Nelson  362
      1 仗	仗      CJK character Nelson  357
      1 仙	仙      CJK character Nelson  359
      1 件	件      CJK character Nelson  368
      1 份	份      Unknown character in range CJK Unified Ideographs
      1 伊	伊      CJK character Nelson  372
      1 会	会      CJK character Nelson  381
      1 传	传      Unknown character in range CJK Unified Ideographs
      1 伦	伦      Unknown character in range CJK Unified Ideographs
      1 伯	伯      CJK character Nelson  397
      1 似	似      CJK character Nelson  376
      1 佐	佐      CJK character Nelson  392
      1 作	作      CJK character Nelson  407
      1 使	使      CJK character Nelson  432
      1 侍	侍      CJK character Nelson  427
      1 俊	俊      CJK character Nelson  448
      1 俗	俗      CJK character Nelson  453
      1 俳	俳      CJK character Nelson  485
      1 倉	倉      CJK character Nelson  486
      1 倍	倍      CJK character Nelson  483
      1 倫	倫      CJK character Nelson  474
      1 像	像      CJK character Nelson  540
      1 允	允      CJK character Nelson  843
      1 兄	兄      CJK character Nelson  875
      1 克	克      CJK character Nelson  772
      1 兎	兎      CJK character Nelson  198
      1 児	児      CJK character Nelson  572
      1 入	入      CJK character Nelson  574
      1 八	八      CJK character Nelson  577
      1 兰	兰      Unknown character in range CJK Unified Ideographs
      1 凛	凛      CJK character Nelson  651
      1 出	出      CJK character Nelson 1408,  97
      1 分	分      CJK character Nelson  578
      1 列	列      CJK character Nelson 2438
      1 初	初      CJK character Nelson 4215
      1 別	別      CJK character Nelson  674
      1 創	創      CJK character Nelson  702
      1 劇	劇      CJK character Nelson  247
      1 功	功      CJK character Nelson 1454
      1 劳	劳      Unknown character in range CJK Unified Ideographs
      1 勅	勅      CJK character Nelson  725,2048
      1 勘	勘      CJK character Nelson  729
      1 勤	勤      CJK character Nelson  732, 733
      1 化	化      CJK character Nelson  350
      1 十	十      CJK character Nelson  768
      1 半	半      CJK character Nelson  132, 167
      1 华	华      Unknown character in range CJK Unified Ideographs
      1 卢	卢      Unknown character in range CJK Unified Ideographs
      1 卿	卿      CJK character Nelson  813
      1 县	县      Unknown character in range CJK Unified Ideographs
      1 叠	叠      Unknown character in range CJK Unified Ideographs
      1 句	句      CJK character Nelson  745
      1 合	合      CJK character Nelson  383
      1 吕	吕      Unknown character in range CJK Unified Ideographs
      1 君	君      CJK character Nelson  899
      1 周	周      CJK character Nelson  622
      1 呼	呼      CJK character Nelson  914
      1 哲	哲      CJK character Nelson  931
      1 商	商      CJK character Nelson  278, 321
      1 啓	啓      CJK character Nelson  940
      1 喰	喰      CJK character Nelson  955
      1 嘉	嘉      CJK character Nelson 1136
      1 土	土      CJK character Nelson 1050
      1 在	在      CJK character Nelson 1055
      1 坂	坂      CJK character Nelson 1061
      1 块	块      Unknown character in range CJK Unified Ideographs
      1 場	場      CJK character Nelson 1113
      1 塊	塊      CJK character Nelson 1122
      1 夏	夏      CJK character Nelson   58
      1 外	外      CJK character Nelson 1168
      1 始	始      CJK character Nelson 1208
      1 姚	姚      Unknown character in range CJK Unified Ideographs
      1 姜	姜      CJK character Nelson 3657
      1 姦	姦      CJK character Nelson 1217
      1 威	威      CJK character Nelson 1803
      1 媒	媒      CJK character Nelson 1241
      1 嬢	嬢      CJK character Nelson 1257
      1 孔	孔      CJK character Nelson 1265
      1 孝	孝      CJK character Nelson  773
      1 孟	孟      CJK character Nelson 1269
      1 季	季      CJK character Nelson 3266
      1 学	学      CJK character Nelson 1271
      1 學	學      CJK character Nelson 1275
      1 宜	宜      CJK character Nelson 1290
      1 宝	宝      CJK character Nelson 1293
      1 審	審      CJK character Nelson 1341
      1 寿	寿      CJK character Nelson  194
      1 尾	尾      CJK character Nelson 1383
      1 居	居      CJK character Nelson 1387
      1 屋	屋      CJK character Nelson 1392
      1 屎	屎      CJK character Nelson 1390
      1 岡	岡      CJK character Nelson  621
      1 岩	岩      CJK character Nelson 1414
      1 岸	岸      CJK character Nelson 1413
      1 峡	峡      CJK character Nelson 1417
      1 峰	峰      CJK character Nelson 1423
      1 崎	崎      CJK character Nelson 1426
      1 嶋	嶋      CJK character Nelson 1434,5343
      1 嶌	嶌      Unknown character in range CJK Unified Ideographs
      1 布	布      CJK character Nelson 1468
      1 帆	帆      CJK character Nelson 1469
